metric,period_ms,ms,successful_reads,total_reads,successful_writes,total_writes
KVS,50,3,204,204,204,204
KVS,50,2,207,207,207,207
KVS,50,2,207,207,207,207
KVS,50,2,207,207,207,207
KVS,50,2,210,210,210,210
KVS,50,3,210,210,210,210
KVS,50,3,210,210,210,210
KVS,50,2,213,213,213,213
KVS,50,3,213,213,213,213
KVS,50,3,213,213,213,213
KVS,50,2,216,216,216,216
KVS,50,2,216,216,216,216
KVS,50,2,216,216,216,216
KVS,50,2,219,219,219,219
KVS,50,3,219,219,219,219
KVS,50,3,219,219,219,219
KVS,50,2,222,222,222,222
KVS,50,2,222,222,222,222
KVS,50,3,222,222,222,222
KVS,50,2,225,225,225,225
KVS,50,3,225,225,225,225
KVS,50,3,225,225,225,225
KVS,50,2,228,228,228,228
KVS,50,3,228,228,228,228
KVS,50,3,228,228,228,228
KVS,50,2,231,231,231,231
KVS,50,3,231,231,231,231
KVS,50,3,231,231,231,231
KVS,50,3,234,234,234,234
KVS,50,3,234,234,234,234
KVS,50,3,234,234,234,234
KVS,50,2,237,237,237,237
KVS,50,2,237,237,237,237
KVS,50,3,237,237,237,237
KVS,50,2,240,240,240,240
KVS,50,3,240,240,240,240
KVS,50,3,240,240,240,240
KVS,50,2,243,243,243,243
KVS,50,2,243,243,243,243
KVS,50,2,243,243,243,243
KVS,50,2,246,246,246,246
KVS,50,3,246,246,246,246
KVS,50,3,246,246,246,246
KVS,50,3,249,249,249,249
KVS,50,3,249,249,249,249
KVS,50,3,249,249,249,249
KVS,50,2,252,252,252,252
KVS,50,2,252,252,252,252
KVS,50,3,252,252,252,252
KVS,50,2,255,255,255,255
KVS,50,3,255,255,255,255
KVS,50,3,255,255,255,255
KVS,50,2,258,258,258,258
KVS,50,2,258,258,258,258
KVS,50,3,258,258,258,258
KVS,50,2,261,261,261,261
KVS,50,3,261,261,261,261
KVS,50,3,261,261,261,261
KVS,50,3,264,264,264,264
KVS,50,3,264,264,264,264
KVS,50,3,264,264,264,264
KVS,50,2,267,267,267,267
KVS,50,3,267,267,267,267
KVS,50,3,267,267,267,267
KVS,50,2,270,270,270,270
KVS,50,3,270,270,270,270
KVS,50,3,270,270,270,270
KVS,50,2,273,273,273,273
KVS,50,3,273,273,273,273
KVS,50,3,273,273,273,273
KVS,50,2,276,276,276,276
KVS,50,3,276,276,276,276
KVS,50,3,276,276,276,276
KVS,50,2,279,279,279,279
KVS,50,3,279,279,279,279
KVS,50,3,279,279,279,279
KVS,50,2,282,282,282,282
KVS,50,3,282,282,282,282
KVS,50,3,282,282,282,282
KVS,50,3,285,285,285,285
KVS,50,3,285,285,285,285
KVS,50,3,285,285,285,285
KVS,50,2,288,288,288,288
KVS,50,2,288,288,288,288
KVS,50,3,288,288,288,288
KVS,50,2,291,291,291,291
KVS,50,3,291,291,291,291
KVS,50,3,291,291,291,291
KVS,50,2,294,294,294,294
KVS,50,3,294,294,294,294
KVS,50,3,294,294,294,294
KVS,50,2,297,297,297,297
KVS,50,3,297,297,297,297
KVS,50,3,297,297,297,297
KVS,50,2,300,300,300,300
KVS,50,2,300,300,300,300
KVS,50,3,300,300,300,300
KVS,50,2,303,303,303,303
KVS,50,3,303,303,303,303
KVS,50,3,303,303,303,303
KVS,50,2,306,306,306,306
KVS,50,2,306,306,306,306
KVS,50,2,306,306,306,306
KVS,50,3,309,309,309,309
KVS,50,3,309,309,309,309
KVS,50,3,309,309,309,309
KVS,50,2,312,312,312,312
KVS,50,3,312,312,312,312
KVS,50,3,312,312,312,312
KVS,50,2,315,315,315,315
KVS,50,2,315,315,315,315
KVS,50,2,315,315,315,315
KVS,50,2,318,318,318,318
KVS,50,2,318,318,318,318
KVS,50,3,318,318,318,318
KVS,50,2,321,321,321,321
KVS,50,2,321,321,321,321
KVS,50,3,321,321,321,321
KVS,50,2,324,324,324,324
KVS,50,3,324,324,324,324
KVS,50,3,324,324,324,324
KVS,50,2,327,327,327,327
KVS,50,3,327,327,327,327
KVS,50,3,327,327,327,327
KVS,50,2,330,330,330,330
KVS,50,2,330,330,330,330
KVS,50,3,330,330,330,330
KVS,50,2,333,333,333,333
KVS,50,3,333,333,333,333
KVS,50,3,333,333,333,333
KVS,50,2,336,336,336,336
KVS,50,3,336,336,336,336
KVS,50,3,336,336,336,336
KVS,50,2,339,339,339,339
KVS,50,3,339,339,339,339
KVS,50,3,339,339,339,339
KVS,50,2,342,342,342,342
KVS,50,3,342,342,342,342
KVS,50,3,342,342,342,342
KVS,50,3,345,345,345,345
KVS,50,3,345,345,345,345
KVS,50,3,345,345,345,345
KVS,50,3,348,348,348,348
KVS,50,3,348,348,348,348
KVS,50,3,348,348,348,348
KVS,50,3,351,351,351,351
KVS,50,3,351,351,351,351
KVS,50,3,351,351,351,351
KVS,50,3,354,354,354,354
KVS,50,3,354,354,354,354
KVS,50,3,354,354,354,354
KVS,50,2,357,357,357,357
KVS,50,3,357,357,357,357
KVS,50,3,357,357,357,357
KVS,50,3,360,360,360,360
KVS,50,3,360,360,360,360
KVS,50,3,360,360,360,360
KVS,50,3,363,363,363,363
KVS,50,3,363,363,363,363
KVS,50,3,363,363,363,363
KVS,50,2,366,366,366,366
KVS,50,3,366,366,366,366
KVS,50,3,366,366,366,366
KVS,50,3,369,369,369,369
KVS,50,3,369,369,369,369
KVS,50,3,369,369,369,369
KVS,50,2,372,372,372,372
KVS,50,3,372,372,372,372
KVS,50,3,372,372,372,372
KVS,50,2,375,375,375,375
KVS,50,3,375,375,375,375
KVS,50,3,375,375,375,375
KVS,50,2,378,378,378,378
KVS,50,3,378,378,378,378
KVS,50,3,378,378,378,378
KVS,50,3,381,381,381,381
KVS,50,3,381,381,381,381
KVS,50,3,381,381,381,381
KVS,50,2,384,384,384,384
KVS,50,2,384,384,384,384
KVS,50,3,384,384,384,384
KVS,50,2,387,387,387,387
KVS,50,3,387,387,387,387
KVS,50,3,387,387,387,387
KVS,50,3,390,390,390,390
KVS,50,3,390,390,390,390
KVS,50,3,390,390,390,390
KVS,50,2,393,393,393,393
KVS,50,3,393,393,393,393
KVS,50,3,393,393,393,393
KVS,50,2,396,396,396,396
KVS,50,3,396,396,396,396
KVS,50,3,396,396,396,396
KVS,50,2,399,399,399,399
KVS,50,3,399,399,399,399
KVS,50,3,399,399,399,399
KVS,50,3,402,402,402,402
KVS,50,3,402,402,402,402
KVS,50,3,402,402,402,402
KVS,50,3,405,405,405,405
KVS,50,3,405,405,405,405
KVS,50,3,405,405,405,405
KVS,50,2,408,408,408,408
KVS,50,3,408,408,408,408
KVS,50,3,408,408,408,408
KVS,50,2,411,411,411,411
KVS,50,2,411,411,411,411
KVS,50,3,411,411,411,411
KVS,50,2,414,414,414,414
KVS,50,2,414,414,414,414
KVS,50,2,414,414,414,414
KVS,50,2,417,417,417,417
KVS,50,2,417,417,417,417
KVS,50,3,417,417,417,417
KVS,50,2,420,420,420,420
KVS,50,2,420,420,420,420
KVS,50,2,420,420,420,420
KVS,50,2,423,423,423,423
KVS,50,2,423,423,423,423
KVS,50,2,423,423,423,423
KVS,50,2,426,426,426,426
KVS,50,3,426,426,426,426
KVS,50,3,426,426,426,426
KVS,50,2,429,429,429,429
KVS,50,2,429,429,429,429
KVS,50,3,429,429,429,429
KVS,50,3,432,432,432,432
KVS,50,3,432,432,432,432
KVS,50,3,432,432,432,432
KVS,50,2,435,435,435,435
KVS,50,3,435,435,435,435
KVS,50,3,435,435,435,435
KVS,50,2,438,438,438,438
KVS,50,3,438,438,438,438
KVS,50,3,438,438,438,438
KVS,50,2,441,441,441,441
KVS,50,3,441,441,441,441
KVS,50,3,441,441,441,441
KVS,50,3,444,444,444,444
KVS,50,3,444,444,444,444
KVS,50,3,444,444,444,444
KVS,50,2,447,447,447,447
KVS,50,3,447,447,447,447
KVS,50,3,447,447,447,447
KVS,50,2,450,450,450,450
KVS,50,3,450,450,450,450
KVS,50,3,450,450,450,450
KVS,50,2,453,453,453,453
KVS,50,3,453,453,453,453
KVS,50,3,453,453,453,453
KVS,50,2,456,456,456,456
KVS,50,2,456,456,456,456
KVS,50,2,456,456,456,456
KVS,50,2,459,459,459,459
KVS,50,3,459,459,459,459
KVS,50,3,459,459,459,459
KVS,50,2,462,462,462,462
KVS,50,2,462,462,462,462
KVS,50,3,462,462,462,462
KVS,50,3,465,465,465,465
KVS,50,3,465,465,465,465
KVS,50,3,465,465,465,465
KVS,50,2,468,468,468,468
KVS,50,3,468,468,468,468
KVS,50,3,468,468,468,468
KVS,50,2,471,471,471,471
KVS,50,3,471,471,471,471
KVS,50,3,471,471,471,471
KVS,50,2,474,474,474,474
KVS,50,3,474,474,474,474
KVS,50,3,474,474,474,474
KVS,50,2,477,477,477,477
KVS,50,3,477,477,477,477
KVS,50,3,477,477,477,477
KVS,50,3,480,480,480,480
KVS,50,3,480,480,480,480
KVS,50,3,480,480,480,480
KVS,50,2,483,483,483,483
KVS,50,3,483,483,483,483
KVS,50,3,483,483,483,483
KVS,50,2,486,486,486,486
KVS,50,3,486,486,486,486
KVS,50,3,486,486,486,486
KVS,50,2,489,489,489,489
KVS,50,2,489,489,489,489
KVS,50,2,489,489,489,489
KVS,50,2,492,492,492,492
KVS,50,3,492,492,492,492
KVS,50,3,492,492,492,492
KVS,50,3,495,495,495,495
KVS,50,3,495,495,495,495
KVS,50,3,495,495,495,495
KVS,50,2,498,498,498,498
KVS,50,2,498,498,498,498
KVS,50,2,498,498,498,498
KVS,50,3,501,501,501,501
KVS,50,3,501,501,501,501
KVS,50,3,501,501,501,501
KVS,50,2,504,504,504,504
KVS,50,3,504,504,504,504
KVS,50,3,504,504,504,504
KVS,50,2,507,507,507,507
KVS,50,3,507,507,507,507
KVS,50,3,507,507,507,507
KVS,50,2,510,510,510,510
KVS,50,3,510,510,510,510
KVS,50,3,510,510,510,510
KVS,50,2,513,513,513,513
KVS,50,3,513,513,513,513
KVS,50,3,513,513,513,513
KVS,50,2,516,516,516,516
KVS,50,2,516,516,516,516
KVS,50,2,516,516,516,516
KVS,50,2,519,519,519,519
KVS,50,2,519,519,519,519
KVS,50,2,519,519,519,519
KVS,50,2,522,522,522,522
KVS,50,3,522,522,522,522
KVS,50,3,522,522,522,522
KVS,50,2,525,525,525,525
KVS,50,2,525,525,525,525
KVS,50,3,525,525,525,525
KVS,50,2,528,528,528,528
KVS,50,2,528,528,528,528
KVS,50,3,528,528,528,528
KVS,50,2,531,531,531,531
KVS,50,3,531,531,531,531
KVS,50,3,531,531,531,531
KVS,50,2,534,534,534,534
KVS,50,3,534,534,534,534
KVS,50,3,534,534,534,534
KVS,50,2,537,537,537,537
KVS,50,3,537,537,537,537
KVS,50,3,537,537,537,537
KVS,50,2,540,540,540,540
KVS,50,3,540,540,540,540
KVS,50,3,540,540,540,540
KVS,50,2,543,543,543,543
KVS,50,3,543,543,543,543
KVS,50,3,543,543,543,543
KVS,50,3,546,546,546,546
KVS,50,3,546,546,546,546
KVS,50,3,546,546,546,546
KVS,50,3,549,549,549,549
KVS,50,3,549,549,549,549
KVS,50,3,549,549,549,549
KVS,50,3,552,552,552,552
KVS,50,3,552,552,552,552
KVS,50,3,552,552,552,552
KVS,50,2,555,555,555,555
KVS,50,3,555,555,555,555
KVS,50,3,555,555,555,555
KVS,50,2,558,558,558,558
KVS,50,3,558,558,558,558
KVS,50,3,558,558,558,558
KVS,50,2,561,561,561,561
KVS,50,2,561,561,561,561
KVS,50,2,561,561,561,561
KVS,50,2,564,564,564,564
KVS,50,2,564,564,564,564
KVS,50,2,564,564,564,564
KVS,50,2,567,567,567,567
KVS,50,3,567,567,567,567
KVS,50,3,567,567,567,567
KVS,50,2,570,570,570,570
KVS,50,2,570,570,570,570
KVS,50,3,570,570,570,570
KVS,50,2,573,573,573,573
KVS,50,2,573,573,573,573
KVS,50,2,573,573,573,573
KVS,50,2,576,576,576,576
KVS,50,2,576,576,576,576
KVS,50,2,576,576,576,576
KVS,50,2,579,579,579,579
KVS,50,2,579,579,579,579
KVS,50,2,579,579,579,579
KVS,50,3,582,582,582,582
KVS,50,3,582,582,582,582
KVS,50,3,582,582,582,582
KVS,50,2,585,585,585,585
KVS,50,3,585,585,585,585
KVS,50,3,585,585,585,585
KVS,50,2,588,588,588,588
KVS,50,3,588,588,588,588
KVS,50,3,588,588,588,588
KVS,50,2,591,591,591,591
KVS,50,3,591,591,591,591
KVS,50,3,591,591,591,591
KVS,50,2,594,594,594,594
KVS,50,3,594,594,594,594
KVS,50,3,594,594,594,594
KVS,50,2,597,597,597,597
KVS,50,3,597,597,597,597
KVS,50,3,597,597,597,597
KVS,50,2,600,600,600,600
KVS,50,2,600,600,600,600
KVS,50,3,600,600,600,600
KVS,50,2,603,603,603,603
KVS,50,3,603,603,603,603
KVS,50,3,603,603,603,603
KVS,50,2,606,606,606,606
KVS,50,3,606,606,606,606
KVS,50,3,606,606,606,606
KVS,50,2,609,609,609,609
KVS,50,3,609,609,609,609
KVS,50,3,609,609,609,609
KVS,50,2,612,612,612,612
KVS,50,3,612,612,612,612
KVS,50,3,612,612,612,612
KVS,50,2,615,615,615,615
KVS,50,2,615,615,615,615
KVS,50,2,615,615,615,615
KVS,50,2,618,618,618,618
KVS,50,2,618,618,618,618
KVS,50,2,618,618,618,618
KVS,50,2,621,621,621,621
KVS,50,3,621,621,621,621
KVS,50,3,621,621,621,621
KVS,50,2,624,624,624,624
KVS,50,2,624,624,624,624
KVS,50,2,624,624,624,624
KVS,50,2,627,627,627,627
KVS,50,3,627,627,627,627
KVS,50,3,627,627,627,627
KVS,50,2,630,630,630,630
KVS,50,3,630,630,630,630
KVS,50,3,630,630,630,630
KVS,50,2,633,633,633,633
KVS,50,3,633,633,633,633
KVS,50,3,633,633,633,633
KVS,50,2,636,636,636,636
KVS,50,2,636,636,636,636
KVS,50,2,636,636,636,636
KVS,50,2,639,639,639,639
KVS,50,3,639,639,639,639
KVS,50,3,639,639,639,639
KVS,50,2,642,642,642,642
KVS,50,2,642,642,642,642
KVS,50,3,642,642,642,642
KVS,50,2,645,645,645,645
KVS,50,2,645,645,645,645
KVS,50,3,645,645,645,645
KVS,50,2,648,648,648,648
KVS,50,3,648,648,648,648
KVS,50,3,648,648,648,648
KVS,50,2,651,651,651,651
KVS,50,3,651,651,651,651
KVS,50,3,651,651,651,651
KVS,50,3,654,654,654,654
KVS,50,3,654,654,654,654
KVS,50,3,654,654,654,654
KVS,50,2,657,657,657,657
KVS,50,2,657,657,657,657
KVS,50,3,657,657,657,657
KVS,50,2,660,660,660,660
KVS,50,3,660,660,660,660
KVS,50,3,660,660,660,660
KVS,50,2,663,663,663,663
KVS,50,3,663,663,663,663
KVS,50,3,663,663,663,663
KVS,50,2,666,666,666,666
KVS,50,3,666,666,666,666
KVS,50,3,666,666,666,666
KVS,50,2,669,669,669,669
KVS,50,3,669,669,669,669
KVS,50,3,669,669,669,669
KVS,50,2,672,672,672,672
KVS,50,3,672,672,672,672
KVS,50,3,672,672,672,672
KVS,50,2,675,675,675,675
KVS,50,3,675,675,675,675
KVS,50,3,675,675,675,675
KVS,50,3,678,678,678,678
KVS,50,3,678,678,678,678
KVS,50,3,678,678,678,678
KVS,50,2,681,681,681,681
KVS,50,3,681,681,681,681
KVS,50,3,681,681,681,681
KVS,50,2,684,684,684,684
KVS,50,3,684,684,684,684
KVS,50,3,684,684,684,684
KVS,50,2,687,687,687,687
KVS,50,3,687,687,687,687
KVS,50,3,687,687,687,687
KVS,50,2,690,690,690,690
KVS,50,2,690,690,690,690
KVS,50,3,690,690,690,690
KVS,50,2,693,693,693,693
KVS,50,3,693,693,693,693
KVS,50,3,693,693,693,693
KVS,50,2,696,696,696,696
KVS,50,3,696,696,696,696
KVS,50,3,696,696,696,696
KVS,50,3,699,699,699,699
KVS,50,3,699,699,699,699
KVS,50,3,699,699,699,699
KVS,50,2,702,702,702,702
KVS,50,3,702,702,702,702
KVS,50,3,702,702,702,702
KVS,50,2,705,705,705,705
KVS,50,3,705,705,705,705
KVS,50,3,705,705,705,705
KVS,50,2,708,708,708,708
KVS,50,2,708,708,708,708
KVS,50,3,708,708,708,708
KVS,50,3,711,711,711,711
KVS,50,3,711,711,711,711
KVS,50,3,711,711,711,711
KVS,50,2,714,714,714,714
KVS,50,3,714,714,714,714
KVS,50,3,714,714,714,714
KVS,50,2,717,717,717,717
KVS,50,3,717,717,717,717
KVS,50,3,717,717,717,717
KVS,50,2,720,720,720,720
KVS,50,2,720,720,720,720
KVS,50,2,720,720,720,720
KVS,50,2,723,723,723,723
KVS,50,2,723,723,723,723
KVS,50,3,723,723,723,723
KVS,50,2,726,726,726,726
KVS,50,2,726,726,726,726
KVS,50,2,726,726,726,726
KVS,50,2,729,729,729,729
KVS,50,3,729,729,729,729
KVS,50,3,729,729,729,729
KVS,50,2,732,732,732,732
KVS,50,3,732,732,732,732
KVS,50,3,732,732,732,732
KVS,50,3,735,735,735,735
KVS,50,3,735,735,735,735
KVS,50,3,735,735,735,735
KVS,50,2,738,738,738,738
KVS,50,3,738,738,738,738
KVS,50,3,738,738,738,738
KVS,50,3,741,741,741,741
KVS,50,3,741,741,741,741
KVS,50,3,741,741,741,741
KVS,50,2,744,744,744,744
KVS,50,3,744,744,744,744
KVS,50,3,744,744,744,744
KVS,50,2,747,747,747,747
KVS,50,3,747,747,747,747
KVS,50,3,747,747,747,747
KVS,50,2,750,750,750,750
KVS,50,3,750,750,750,750
KVS,50,3,750,750,750,750
KVS,50,2,753,753,753,753
KVS,50,3,753,753,753,753
KVS,50,3,753,753,753,753
KVS,50,2,756,756,756,756
KVS,50,3,756,756,756,756
KVS,50,3,756,756,756,756
KVS,50,3,759,759,759,759
KVS,50,3,759,759,759,759
KVS,50,3,759,759,759,759
KVS,50,2,762,762,762,762
KVS,50,3,762,762,762,762
KVS,50,3,762,762,762,762
KVS,50,3,765,765,765,765
KVS,50,3,765,765,765,765
KVS,50,3,765,765,765,765
KVS,50,2,768,768,768,768
KVS,50,3,768,768,768,768
KVS,50,3,768,768,768,768
KVS,50,2,771,771,771,771
KVS,50,3,771,771,771,771
KVS,50,3,771,771,771,771
KVS,50,2,774,774,774,774
KVS,50,3,774,774,774,774
KVS,50,3,774,774,774,774
KVS,50,2,777,777,777,777
KVS,50,3,777,777,777,777
KVS,50,3,777,777,777,777
KVS,50,2,780,780,780,780
KVS,50,2,780,780,780,780
KVS,50,2,780,780,780,780
KVS,50,2,783,783,783,783
KVS,50,3,783,783,783,783
KVS,50,3,783,783,783,783
KVS,50,2,786,786,786,786
KVS,50,2,786,786,786,786
KVS,50,3,786,786,786,786
KVS,50,2,789,789,789,789
KVS,50,3,789,789,789,789
KVS,50,3,789,789,789,789
KVS,50,2,792,792,792,792
KVS,50,3,792,792,792,792
KVS,50,3,792,792,792,792
KVS,50,2,795,795,795,795
KVS,50,3,795,795,795,795
KVS,50,3,795,795,795,795
KVS,50,2,798,798,798,798
KVS,50,3,798,798,798,798
KVS,50,3,798,798,798,798
KVS,50,2,801,801,801,801
KVS,50,3,801,801,801,801
KVS,50,3,801,801,801,801
KVS,50,2,804,804,804,804
KVS,50,2,804,804,804,804
KVS,50,3,804,804,804,804
KVS,50,2,807,807,807,807
KVS,50,3,807,807,807,807
KVS,50,3,807,807,807,807
KVS,50,2,810,810,810,810
KVS,50,3,810,810,810,810
KVS,50,3,810,810,810,810
KVS,50,2,813,813,813,813
KVS,50,3,813,813,813,813
KVS,50,3,813,813,813,813
KVS,50,2,816,816,816,816
KVS,50,2,816,816,816,816
KVS,50,2,816,816,816,816
KVS,50,2,819,819,819,819
KVS,50,3,819,819,819,819
KVS,50,3,819,819,819,819
KVS,50,3,822,822,822,822
KVS,50,3,822,822,822,822
KVS,50,3,822,822,822,822
KVS,50,2,825,825,825,825
KVS,50,3,825,825,825,825
KVS,50,3,825,825,825,825
KVS,50,2,828,828,828,828
KVS,50,3,828,828,828,828
KVS,50,3,828,828,828,828
KVS,50,2,831,831,831,831
KVS,50,2,831,831,831,831
KVS,50,2,831,831,831,831
KVS,50,3,834,834,834,834
KVS,50,3,834,834,834,834
KVS,50,3,834,834,834,834
KVS,50,2,837,837,837,837
KVS,50,2,837,837,837,837
KVS,50,3,837,837,837,837
KVS,50,2,840,840,840,840
KVS,50,2,840,840,840,840
KVS,50,2,840,840,840,840
KVS,50,2,843,843,843,843
KVS,50,3,843,843,843,843
KVS,50,3,843,843,843,843
KVS,50,2,846,846,846,846
KVS,50,3,846,846,846,846
KVS,50,3,846,846,846,846
KVS,50,2,849,849,849,849
KVS,50,2,849,849,849,849
KVS,50,2,849,849,849,849
KVS,50,3,852,852,852,852
KVS,50,3,852,852,852,852
KVS,50,3,852,852,852,852
KVS,50,2,855,855,855,855
KVS,50,3,855,855,855,855
KVS,50,3,855,855,855,855
KVS,50,2,858,858,858,858
KVS,50,3,858,858,858,858
KVS,50,3,858,858,858,858
KVS,50,2,861,861,861,861
KVS,50,3,861,861,861,861
KVS,50,3,861,861,861,861
KVS,50,2,864,864,864,864
KVS,50,2,864,864,864,864
KVS,50,2,864,864,864,864
KVS,50,2,867,867,867,867
KVS,50,2,867,867,867,867
KVS,50,2,867,867,867,867
KVS,50,2,870,870,870,870
