Start time:, 1754072193349933818
End time:, 1754072198365151029
Total time:, 5015217211

Total Event Occurrences
Reaction starts, 24370
Reaction ends, 24370
Schedule called, 801
Worker wait starts, 24379
Worker wait ends, 24379
Scheduler advancing time starts, 401
Scheduler advancing time ends, 401
Sending TIMESTAMP, 1
Sending NET, 403
Sending LTC, 201
Sending FED_ID, 1
Sending RESIGN, 1
Sending PORT_ABS, 8428
Sending TAGGED_MSG, 2800
Receiving ACK, 1
Receiving TIMESTAMP, 1
Receiving PTAG, 401
Receiving TAG, 77
Receiving PORT_ABS, 9327
Receiving TAGGED_MSG, 3104

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
nr_federate__p1_29, 0, 100, 120939, 0.002411, 1209, 3687, 234

Schedule calls
Trigger, Occurrences
p1.a.r.t, 101
p1.a.c.t, 100
p1.a.delay.act, 100
p1.a.delay_0.act, 100
p1.a.delay_1.act, 100
p1.delay.act, 100
p1.delay_0.act, 100
p1.delay_1.act, 100

Workers Waiting
Worker, Waiting On, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
0, reaction queue, 2503, 4920542866, 98.112258, 1965858, 48658766, 49
1, reaction queue, 2402, 4918250781, 98.066556, 2047564, 55252865, 49
2, reaction queue, 2502, 4913889474, 97.979594, 1963984, 46359786, 49
3, reaction queue, 2281, 4915515959, 98.012025, 2154982, 51479619, 49
4, reaction queue, 2475, 4907656771, 97.855318, 1982891, 43461817, 49
5, reaction queue, 2486, 4914245678, 97.986697, 1976768, 52113851, 49
6, reaction queue, 2342, 4913525851, 97.972344, 2098004, 51932136, 49
7, reaction queue, 2465, 4911543053, 97.932808, 1992512, 42433670, 49
8, reaction queue, 2535, 4915991161, 98.021500, 1939247, 50020105, 49
9, reaction queue, 2388, 4917780268, 98.057174, 2059371, 43146200, 46
